,ID,ID collecteur,Date de début,Date de fin,Q1,Q3,Q4,Q4-text,Q5,Q5-text,Q6,Q6-text,Q7,Q8,Q9,Q10,Q11,Q12,Q8-en,Q10-en,Q12-en,Q4-en,Q5-en,Q6-en
10,6184346574,156443487,2017-05-05 21:14:23,2017-05-05 21:18:04,Oui,Macron,Oui,,Très sûr,,Emmanuel Macron,,Macron,Parce que l'extrême droite n'a pas du tout un projet clair et comment financer ,Oui,,Oui,,Because the extreme right has not a clear project and how to finance ,,,,,
11,6184324740,156443487,2017-05-05 20:58:07,2017-05-05 20:58:59,Oui,Le Pen,Je ne sais pas,,Très sûr,,Marine Le Pen,,,,,,,,,,,,,
12,6184305286,156443487,2017-05-05 20:42:04,2017-05-05 20:49:53,Oui,Macron,Oui,,Très sûr,,Emmanuel Macron,,Macron,Il va baissé les charges des ouvriers ,Oui,La même chose que moi,Oui,C'est l'avenir de la France émanul macron,It goes down loads workers ,The same thing as me,It is the future of France émanul macron,,,
13,6184265182,156443487,2017-05-05 20:16:04,2017-05-05 20:19:47,Oui,Macron,Oui,,Très sûr,,Emmanuel Macron,,Macron,,Oui,,Oui,,,,,,,
14,6184261234,156443487,2017-05-05 20:15:17,2017-05-05 20:16:08,Oui,Melenchon,Oui,,Je ne sais pas,,Marine Le Pen,,,,,,,,,,,,,
15,6184233116,156443487,2017-05-05 19:57:39,2017-05-05 20:03:52,Oui,Le Pen,Oui,,Pas sûr,,Marine Le Pen,,Le Pen,Car macron veut que l'on vive avec le terrorisme et le pen veut radié le terrorisme et car macaron veut supprimer certaines aides financières alors que le pen veut rajouter 1000€ par ans au petite retraite et personne touchant peut d'argent.,Oui,Pour les même raison que je pense que marine le pen sera élu.,Oui,Car elle veut la sécurité du pays et que les moyens financiers des français soit plus acceptable.,Because macron wants to live with terrorism and the pen is removed terrorism and because uttons wants to remove some financial aid while the pen wants to add 1000 € per years small retirement and related person can money.,For the same reason that I think Navy will elected.,Because it wants security and that the financial resources of French is more acceptable.,,,
16,6184232684,156443487,2017-05-05 19:57:30,2017-05-05 19:58:44,Oui,Macron,Oui,,Très sûr,,Emmanuel Macron,,Macron,,Oui,,Oui,,,,,,,
17,6184226640,156443487,2017-05-05 19:53:26,2017-05-05 19:56:42,Oui,Melenchon,Oui,,Très sûr,,Emmanuel Macron,,Le Pen,Le pen car elle va faire bouger la france je pense..,Oui,Ils sont d'accord avec moi,Oui,,The pen because it will move the france I think ..,They agree with me,,,,
18,6184224036,156443487,2017-05-05 19:52:14,2017-05-05 19:54:10,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,,Oui,Macron ne raconte que des mensonges. D'ailleurs il a besoin d'une oreillette pour pouvoir répondre aux questions,Oui,,,Macron said lies. Moreover it needs a atrium to answer questions,,,,
19,6184221454,156443487,2017-05-05 19:14:18,2017-05-05 19:54:22,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Macron,Macron Emmanuel va remporté car les autres lui on donné leur voix ,Oui,Il pensent que macron sera élu ,Oui,Marine représente la France 🇫🇷 veut renvoyer les sans-papiers et remettre les franc ,Emmanuel Macron will win because the other one gave him their votes ,It think macron will be elected ,Marine represents France wants to return undocumented and get frank ,,,
20,6184221350,156443487,2017-05-05 19:49:51,2017-05-05 19:53:35,Oui,Macron,Oui,,Très sûr,,Emmanuel Macron,,Macron,Il mérite d'être président par ce qu'il a le meilleur programme.,Oui,,Oui,,It deserves to be president because he has the best program.,,,,,
21,6184221052,156443487,2017-05-05 19:49:55,2017-05-05 19:52:52,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Marine le pen,Oui,Pck il son pour le pen,Oui,Parce que elle va changer la France :),Marine pen,Pck its for the pen,Because it will change the France:),,,
22,6184215803,156443487,2017-05-05 19:46:40,2017-05-05 19:49:34,Oui,Melenchon,Oui,,Pas sûr,,Emmanuel Macron,,Macron,,Oui,,Non,,,,,,,
23,6184212220,156443487,2017-05-05 19:44:26,2017-05-05 19:45:57,Oui,Melenchon,Oui,,Je ne sais pas,,Emmanuel Macron,,,,,,,,,,,,,
24,6184206137,156443487,2017-05-05 19:40:31,2017-05-05 19:44:09,Oui,Le Pen,Oui,,Pas sûr,,Marine Le Pen,,Macron,Tout simplement parce que les gens ayant voter Fillon ect ... Se retrouve à voter macron .,Oui,Tout simplement pour la même raison que moi . ,Non,,Quite simply because people who vote Fillon ect ... Referring to vote macron.,Quite simply for the same reason as me. ,,,,
25,6184200953,156443487,2017-05-05 19:37:08,2017-05-05 19:39:47,Oui,Melenchon,Oui,,Très sûr,,Emmanuel Macron,,,,,,,,,,,,,
26,6184198676,156443487,2017-05-05 19:35:55,2017-05-05 19:38:12,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,,,,,,,,,,,,
27,6184198232,156443487,2017-05-05 19:35:45,2017-05-05 19:37:50,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,,Oui,,Oui,,,,,,,
28,6184197474,156443487,2017-05-05 19:34:26,2017-05-05 19:39:15,Oui,Poutou,Oui,,Très sûr,,Emmanuel Macron,,Macron,,Oui,,Oui,,,,,,,
29,6184188019,156443487,2017-05-05 19:29:40,2017-05-05 19:37:30,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Du changement pour la France marre du flambi et pas envie dans avoir un autre,Non,Trop  peur des gros changement pour la France ,Oui,Oui un bon choix elle du caractère de bonne idée pour notre pays ,From change for France tired of flambi and not want to have another,Too afraid of big change for France ,Yes a good choice of character good idea for our country ,,,
30,6184185040,156443487,2017-05-05 19:27:57,2017-05-05 19:29:08,Oui,Melenchon,Oui,,Très sûr,,Emmanuel Macron,,,,,,,,,,,,,
31,6184184374,156443487,2017-05-05 19:26:29,2017-05-05 19:31:41,Oui,Macron,Oui,,Très sûr,,Emmanuel Macron,,Macron,il est jeune bien instruit conner la plus part des attentes des français,Oui,,,,He is young well educated conner the most part of the expectations of French,,,,,
32,6184183886,156443487,2017-05-05 19:26:30,2017-05-05 19:31:55,Oui,Melenchon,Oui,,Très sûr,,Emmanuel Macron,,Macron,Parce que il porte un projet qui nous protège et qui protège notre union européenne   ,Oui,Car nous avons tous le même point de vue ,Oui,Oui car la France a toujours était grande dans une Europe unie et fort ,Because it is a project that protects us and protects our European Union   ,Because we all have the same point of view ,Yes because France has always been great in a united Europe and strong ,,,
33,6184180473,156443487,2017-05-05 19:23:58,2017-05-05 19:26:19,Non,Macron,Je ne sais pas,,Cela dépend du candidat,,Emmanuel Macron,,,,,,,,,,,,,
34,6184175077,156443487,2017-05-05 19:21:47,2017-05-05 19:24:58,Oui,Melenchon,Oui,,Autre (veuillez préciser),Non,Blanc,Je suis pour le peuple,Le Pen,"Macron n'as aucun réel programme , il change de discours comme de slip",Oui,"Ils ont bien vu qu'entre LePen et Macron , un seul candidat était pour le peuple francais ",Oui,,"Macron have no real program, it changes speech as underwear","They saw that between LePen and Macron, one candidate was for the French people ",,,No,I am for the people
35,6184166682,156443487,2017-05-05 19:16:58,2017-05-05 19:20:20,Oui,Asselineau,Oui,,Cela dépend du candidat,,Blanc,Je ne sais pas qui voter,Le Pen,Parce que son programme est bien,Oui,,Oui,,Because its programme is well,,,,,I don't know who to vote
36,6184166571,156443487,2017-05-05 19:17:08,2017-05-05 19:18:44,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Macron,,Oui,,Oui,,,,,,,
37,6184165339,156443487,2017-05-05 19:16:14,2017-05-05 19:17:48,Non,,Je ne sais pas,,Je ne sais pas,,Emmanuel Macron,,,,,,,,,,,,,
38,6184160567,156443487,2017-05-05 19:13:44,2017-05-05 19:15:40,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Car la france souffre de trop,Oui,,Oui,,Carla france suffers too,,,,,
39,6184158892,156443487,2017-05-05 19:13:04,2017-05-05 19:19:45,Oui,Melenchon,Oui,,Pas sûr,,Blanc,Aucun des deux ne me plaît ,Macron,"Je pense que Macron deviendra président car Marine Le Pen est précédé d'une notoriété raciste alors les gens on peur. Macron est plutôt jeune et rassemble les gens, alors le peuple a confiance en lui, mais si Le Pen est arrivé jusque ici c'est à cause du ras le bol du peuple et des amalgames.",Oui,"Mes amis sont des gens qui ont voté Melanchon comme moi, pour eux, Le Pen est le racisme et Macron un riche, or il vaut mieux mettre quelqu'un qui aime l'argent au pouvoir plutôt que quelqu'un qui n'est pas humain",Oui,Melanchon était prometteur dans le sens où il est pour le peuple et il vient du peuple. Il n'a pas fait les grandes écoles de politique et il pense à partager la richesse et ne pas la stocké dans quelques maisons. Il a aussi de grand projet au niveau écologique ce qui fait de son programme un programme complet.,"I think Macron will become president because Marine Le Pen is preceded by a known racist then people are afraid. Macron is rather young and gathers the people, then the people have confidence in him, but if Le Pen arrived until here is because of the fed up people and amalgam.","My friends are people who voted Melancon like me, for them, Le Pen is racism and Macron a rich, or it is better to someone who likes money to power rather than someone who is not human",Melancon was promising in the sense that it is for the people and it comes from the people. It has not been the major schools policy and think of share the wealth and not stored in some houses. He also great project at the ecological level which makes its program a full programme.,,,No two like me 
40,6184157925,156443487,2017-05-05 19:12:20,2017-05-05 19:15:06,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Marine Le Pen car sont programme est meilleur ,Oui,Car eux aussi pense pareil et que son programme et meilleur ,Oui,Car ma France a peut être besoin d'un bon changement et elle pourra le faire ,Marine Le Pen are program is better because ,Because they think this and that its programme and better ,Carma France may be need a good change and it can ,,,
41,6184149764,156443487,2017-05-05 19:07:26,2017-05-05 19:12:16,Oui,Asselineau,Je ne sais pas,,Autre (veuillez préciser),Non c'est des manipulateurs,Blanc,La France n'a aucun avenir avec ses 2 candidats,Macron,Hollande junior tout est déjà écrit. . Nous sommes tous manipulés! Qui dis que même les résultats électoral ne sont pas truqués...,Oui,Ils pensent la même chose que moi.,Oui,F. Asselineau est le seul à avoir montré des documents confidentiels à la tv.Et c'est l'un de candidats boycotté d'entrée par les médias et les politiciens pourtant il est vrai.,Holland Junior is already written. We are all handled! Who say that even the electoral results are not rigged ...,They think the same thing as me.,F. Asselineau is the only one who has shown confidential documents to the tv. And it is one of the candidates boycotted entry by the media and politicians yet it is true.,,No is manipulators,France has no future with its 2 candidates
42,6184140452,156443487,2017-05-05 19:02:43,2017-05-05 19:05:55,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Car si Mr Macron passe les Francais devront subir la Loi Elkhomri Puissance 10 par Ordonnance. Donc je pense que Marine Le Pen va gagné cette élection ,Oui,Car c'est notre avenir et ceux de nos parents et nos futurs enfants,Oui,Car sa sera la seul personne capable de refaire vivre la France,Because if Mr Macron is Translation will suffer the Act Elkhomri Power 10 by Order. So I think Marine Le Pen won this election will ,That is our future and those of our parents and our future children,Because its will be the only person capable of France live again,,,
43,6184136524,156443487,2017-05-05 18:59:45,2017-05-05 19:08:13,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Macron,Macron remportera le second tour car il et soutenu par les riches et lui même veut faire pour les grand et les petit comme il dit il s en fou royalement seul sont intérêt pour l argent compte cela ne changera rien pour l avenir à part être pire que avant si les gens n on pas compris se qui ce trame comme depuis des années il ne faut pas qu il se plaigne  que la vie et dur car il l aurons choisi en votant pour ce vautour peut être que dans 5 ans le peuple français aura compris pour qui vote.,Oui,idem que mon premier texte.,Non,idem que mon premier texte,Macron will win the second round because it and supported by the rich and even wants to do it for large and small as he says they only are royally crazy l interest money account that nothing will change for the future share be worse than before if people not including is not frame as this for years should not complain that life and hard because l have chosen in voting for this vulture can be that in 5 years the French people will vote for including.,Idem that my first text.,Idem that my first text,,,
44,6184131776,156443487,2017-05-05 18:56:56,2017-05-05 18:58:45,Non,Le Pen,Non,,Pas sûr,,Marine Le Pen,,,,,,,,,,,,,
45,6184131292,156443487,2017-05-05 18:54:57,2017-05-05 18:58:58,Oui,Le Pen,Autre (veuillez préciser),non,Autre (veuillez préciser),je sais pas,Blanc,marine le  pen,Le Pen,Bonjour ,Non,Bonjour,Non,Ok,Hello ,Hello,Ok,-,I know not,Marine pen
46,6184130618,156443487,2017-05-05 18:57:02,2017-05-05 18:58:48,Oui,Melenchon,Oui,,Très sûr,,Marine Le Pen,,Le Pen,,Non,,Oui,,,,,,,
47,6184129413,156443487,2017-05-05 18:56:19,2017-05-05 19:00:15,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Car tout simplement Macron était sous le régime de Hollande donc même merde à nouveau pendant 5 ans il est l'auteur du 49:3 de la loi El komhri. Marine n est pas qlqs de raciste juste qlqs qui veut défendre l histoire de son pays et continuer ainsi a écrire une histoire Française ,Oui,,Oui,Vive marine ,Because simply Macron was Hollande regime therefore same shit again for 5 years he is the author of the 49: 3 of the Act El komhri. Navy n is not qlqs just racist qlqs who wants to defend the history of his country and continue as a write a story Française ,,Long Marine ,,,
48,6184128922,156443487,2017-05-05 18:55:34,2017-05-05 19:01:09,Oui,Melenchon,Autre (veuillez préciser),C'est obligatoire,Autre (veuillez préciser),Vu les candidats je n'ai pas le choix ,Blanc,Il faut faire barrage au fn,Macron,"Madame Lepen ne passera pas le second tour cette année peut être dans 5 ans mais pas maintenant, son programme est très flou elle change toujours d'avis ",Oui,"Le débat politique est important selon ce que chacun perçoit d'un candidat, nous sommes tous dans la même situation où nous faisons parti des personnes discriminer ",Non,Non certes il vaut mieux l'avoir lui que marine au pouvoir mais meme lui n'est pas convaincant avec les loi travail quil a fait on se demande à Quoi Ca ressembler La france pendant ce quinquennat ,"Madam Lepen will not the second round this year may be in 5 years but not now, its programme is very vague changes always of the view ","The political debate is important that everyone perceives a candidate, we are all in the same situation where we are party people discriminate ",Not that it is better to have him that marine power but even it is not convincing with the work that Bill has made you wonder What I look like The france during this quinquennium ,It is mandatory,Given the candidates I have no choice ,It must be dam at fn
49,6184123706,156443487,2017-05-05 18:52:45,2017-05-05 18:55:18,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Macron,Tous le monde a peur au deuxième tour donc ils vote pas se qu'il veulent vraiment ,Oui,Oui on en parle beaucoup  entre nous,Oui,Elles est la pour nous ,All the world is afraid the second round so they will not vote he really want ,Yes we talk much between us,It is for us ,,,
50,6184121715,156443487,2017-05-05 18:51:20,2017-05-05 18:52:48,Non,Dupont-Aignan,Oui,,Très sûr,,Blanc,Pas de raison ,,,,,,,,,,,,No reason 
51,6184120818,156443487,2017-05-05 18:51:16,2017-05-05 18:52:05,Non,Le Pen,Oui,,Très sûr,,Marine Le Pen,,,,,,,,,,,,,
52,6184107197,156443487,2017-05-05 18:43:57,2017-05-05 18:44:29,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,,,,,,,,,,,,
53,6184106193,156443487,2017-05-05 18:42:45,2017-05-05 18:43:56,Oui,Dupont-Aignan,Oui,,Très sûr,,Marine Le Pen,,,,,,,,,,,,,
54,6184085339,156443487,2017-05-05 18:31:55,2017-05-05 18:35:41,Oui,Melenchon,Oui,,Très sûr,,Blanc,Je ne sais pas,Macron,Tous l 'est est pour macron beaucoup plus que pour le pen hormis que la roue tourne. Tous peut changer au second tour ,Oui,On ait entre deux chance des avis positive des deux coter et du negative ,Oui,Je pense qu il y a des chances fondamente le tout ces de les mettre en place,All l macron is much more than for the pen except that the wheel turns. All can change in the second round ,It was between two chance of positive opinion of both rate and negative ,I think it likely fondamente all these establish,,,I don't know
55,6184082589,156443487,2017-05-05 18:29:42,2017-05-05 18:31:53,Non,Macron,Oui,,Très sûr,,Emmanuel Macron,,,,,,,,,,,,,
56,6184079947,156443487,2017-05-05 18:28:02,2017-05-05 18:31:06,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,,,,,,,,,,,,
57,6184077455,156443487,2017-05-05 18:27:37,2017-05-05 18:28:37,Non,,,,,,,,,,,,,,,,,,,
58,6184076875,156443487,2017-05-05 18:23:09,2017-05-05 18:47:12,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,"MLP car si on compare les elextions américaine on peut voir que c'etait ""gagné d'avance"" pour Hillary Clinton et au final Trump est passé. Ensuite E.M est souvent assimilé à François Hollande qui est devenu la personnalité française la moins aimé. Pour un autre point E.M à tendance à dire ce que les potentiels électeurs veulent entendre car on voit dans des vidéos ou il se contredit.   Pour finir je dirai que depuis degaulle les présidents etaient toujours soit de droite sois de gauche et cela n'a pas forcement bien marché alors pourquoi pas essayer l'extrême droite.",Oui,En fait l'avis est varié mais j'ai remarqué que suite à une vidéo resumant les propositions des deux candidats ils se sont ensuite tourner vers MLP. ,Oui,Je pense avoir fais le bon choix car MLP est la candidate qui propose tout d'abord vraiment des mesures sur la sécurité contre le terrorisme. Ensuite je trouve que de sortir de l'euro pour favoriser le patriotisme des entreprise pourrait recréer de l'emploi en France et le fait de gerer l'immigration permettra de pouvoir gerer leur entrée et leur incertion.,"MLP because if you compare the elextions US see that it was ""earned in advance"" for Hillary Clinton and ultimately Trump is past. Then Delumyea is often equated with François Hollande became the least loved French personality. For another point Delumyea tend to say that potential voters want to hear because we see in videos or it is contradicted.   Finally I would say that since degaulle presidents were always be right to be left and it has not necessarily well then why not try the extreme right.",In fact opinion is varied but I noticed that after a video summarizing the proposals of the two candidates they then turn to MLP. ,I think I am the right choice because MLP is the candidate who proposes first really measures on security against terrorism. Then I find that out of the euro to promote patriotism of company could recreate employment in France and the fact manage immigration will be able to manage their entry and their incertion.,,,
59,6184072756,156443487,2017-05-05 18:25:09,2017-05-05 18:27:33,Oui,Melenchon,Oui,,Très sûr,,Emmanuel Macron,,Macron,,Oui,,Oui,,,,,,,
60,6184072091,156443487,2017-05-05 18:24:58,2017-05-05 18:26:21,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,,Oui,,Oui,,,,,,,
61,6184068559,156443487,2017-05-05 18:22:28,2017-05-05 18:23:59,Non,,,,Très sûr,,Marine Le Pen,,,,,,,,,,,,,
62,6184065426,156443487,2017-05-05 18:21:19,2017-05-05 18:23:06,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Le pen à des meilleurs argumentaires ,Oui,,Oui,,The pen best arguments ,,,,,
63,6184061953,156443487,2017-05-05 18:19:21,2017-05-05 18:21:02,Oui,Fillon,Oui,,Très sûr,,Emmanuel Macron,,Macron,,Non,,Non,,,,,,,
64,6184061803,156443487,2017-05-05 18:19:42,2017-05-05 18:21:09,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,,Oui,Oui,Oui,,,Yes,,,,
65,6184059850,156443487,2017-05-05 18:16:58,2017-05-05 18:21:19,Oui,Macron,Oui,,Très sûr,,Emmanuel Macron,,Macron,Macron ,Oui,,Oui,,Macron ,,,,,
66,6184058251,156443487,2017-05-05 18:17:41,2017-05-05 18:19:55,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Macron,Macron,Non,Il veulent pas voter,Oui,Sa serai mieux pour une. Fois que ses une femme ,Macron,He want to vote,It will be better for a. Times that its a woman ,,,
67,6184050802,156443487,2017-05-05 18:13:22,2017-05-05 18:15:22,Oui,Dupont-Aignan,Oui,,Très sûr,,Emmanuel Macron,,Macron,Macron,Non,non ,Oui,,Macron,- ,,,,
68,6184048922,156443487,2017-05-05 18:12:43,2017-05-05 18:15:51,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,"Mr macron est ni plus ni moins la continuité de Mr hollande l'euro nous à bouffer ex: baguette de pain en franc en boulangerie 2,80 franc baguette aujourd'hui 1,10 euros soit 1,10x6.55957= la mort pour nous petit français ",Oui,,Oui,,"Mr macron is more or less the continuity of Mr holland euro we eat ex: baguette bread bakery in 2.80 franc franc wand today 1.10 euros or 1 ,10x6.55957 = death for us small French ",,,,,
69,6184048118,156443487,2017-05-05 18:11:47,2017-05-05 18:19:28,Oui,Melenchon,Oui,,Très sûr,,Emmanuel Macron,,Macron,Plus convaincant sur les projets que marine Le pen lors du débat,Oui,Car marine n'a pas profité du debat pour présenter son projet   Elle n'a fait que critiquer les 5ans de Hollande et dire des intoxs sur macron au lieu de parler son projet pour les 5 ans à venir et ct dommage,Oui,Parce que je connais ses intentions,More convincing on projects that Navy The debate pen,Because navy has not benefited from the debate to present his project She did criticize the 5ans Holland and say intoxs macron instead of talking about his project for the next 5 years and ct injury,Because I know his intentions,,,
70,6184043479,156443487,2017-05-05 18:07:48,2017-05-05 18:12:04,Oui,Melenchon,Oui,,Très sûr,,Emmanuel Macron,,Macron,,Non,Chacun son avis,Oui,,,Each opinion,,,,
71,6184042392,156443487,2017-05-05 18:09:10,2017-05-05 18:10:16,Oui,Melenchon,Oui,,Très sûr,,Emmanuel Macron,,,,,,,,,,,,,
72,6184036476,156443487,2017-05-05 18:05:56,2017-05-05 18:10:34,Oui,Melenchon,Oui,,Autre (veuillez préciser),Un peu car ce n'est pas des programmes qui m'intéresse ,Blanc,Car aucun programme ne me correspond ,Le Pen,Car beaucoup de personnes rentrent dans son optique et ne voit que de leurs point de vue ,Oui,,Non,,For many people returning to its optical and sees that their point of view ,,,,A little because it is not interested in programs that ,Because no program is me 
73,6184035729,156443487,2017-05-05 18:04:59,2017-05-05 18:07:57,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Macron,Beau discours au francais beaucoup peuvent croire en ses promesse,Non,Il veulent le pen president,Oui,Directive droite et claire ,Nice speech in French much may believe in its promise,He want to pen President,Directive right and clear ,,,
74,6184033004,156443487,2017-05-05 18:04:13,2017-05-05 18:08:51,Oui,Melenchon,Oui,,Très sûr,,Emmanuel Macron,,Macron,Je pense que Macron va passer car Marine le Pen a un programme trop agressif tandis que macron possède un programme plus stable et plus réaliste au niveau de l'économie du pays. Certe un programme difficile à entendre pour certaine mais plus réaliste que celui de marine le pen.,Non,Non car ils pensent que marine le pen ca changer quelque chose car le FN n'est jamais passer ,Non,Car cest la suite de François hollande ,I think Macron will pass because Marine Le Pen has a program too aggressive while macron has a program more stable and more realistic in terms of the economy. Certe a program difficult to hear for some but more realistic than marine pen.,Not because they believe that marine pen ca change something because the FN is never move ,Because thats the result of François holland ,,,
75,6184027608,156443487,2017-05-05 18:00:26,2017-05-05 18:02:47,Oui,Macron,Autre (veuillez préciser),Marcon,Autre (veuillez préciser),Macron,Emmanuel Macron,,,,,,,,,,,Marcon,Macron,
76,6184026127,156443487,2017-05-05 18:00:41,2017-05-05 18:03:20,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Les sondages ne sont pas sur. Exemples des etats unis. ,Non,Ils se fient tous au sondages,Oui,"La candidate du FN sera capable de remonter le pays, economiquement parlant",Opinion polls are not on. Examples of the Emirates. ,They rely all polls,"The candidate FN will be able to boost the country, economically speaking",,,
